,Elec_cons
31.01.2019,224488.3647
28.02.2019,263575.7505
31.03.2019,240379.556
30.04.2019,161080.9377
31.05.2019,75466.30131
30.06.2019,56360.90857000001
31.07.2019,0.0
31.08.2019,0.0
30.09.2019,31006.92857
31.10.2019,230253.6979
30.11.2019,211226.9744
31.12.2019,185906.7098
