,Minimum,Average,Maximum,Length
prod[BOI][Heat],0.0,569.3692496291177,606.6103561631785,144.0
cons[BOI][Gas],0.0,632.6324995879086,674.0115068479761,144.0
prod[PV][Elec],0.0,0.20043333333333335,1.974,144.0
prod[BAT][Elec],0.0,0.26352313834736496,18.973665961010276,144.0
cons[BAT][Elec],0.0,0.2928034870526277,10.376299041226037,144.0
prod[SOFC][Elec],10.483033597692863,18.033442602442317,20.0,144.0
prod[SOFC][Heat],0.0,3.6857070187502794,11.537865450000874,144.0
cons[SOFC][Gas],0.0,21.676248279829295,35.08771929824562,144.0
cons[SOFC][Biogas],0.0,9.9613703209467,31.1834201351375,144.0
prod[AD][Biogas],0.0,9.9613703209467,31.1834201351375,144.0
cons[AD][Biomass],0.0,33.204567736489,103.94473378379166,144.0
cons[AD][Elec],0.0,0.07969096256757362,0.2494673610811,144.0
cons[AD][Heat],0.0,7.497957699120592,162.16480248846636,144.0
unit_T[AD],29.999999999989086,30.99536013686534,32.7074422479589,144.0
build_cons[Heat],0.0,565.5569989487474,618.1482216131792,144.0
v[BOI][build],0.0,32.229710818164335,34.796005133643185,144.0
v[BOI][AD],0.0,0.6451397637866678,13.952994477975144,144.0
v[SOFC][build],0.0,0.211417228609003,0.6618278460803573,144.0
v[SOFC][AD],0.0,0.0,0.0,144.0
bat_SOC,0.0,6.701015076489196,20.0,144.0
bat_charge,0.0,0.9791666666666666,1.0,144.0
bat_discharge,0.0,0.020833333333333332,1.0,144.0
heat_loss_biomass,0.0,2.611426906507197,8.174901620370356,144.0
build_T,19.65260815155846,19.981504033955325,20.28186012809166,144.0
penalty_t,0.0,2.2744719930855935e-06,1.1468561835254779e-05,144.0
comfort_delta_T,-0.2818601280916623,0.018495966044674107,0.3473918484415405,144.0
comfort_delta_T_abs,0.0,0.06889556347663585,0.3473918484415405,144.0
grid_export[Elec],0.0,0.6402019082533266,8.402299041226037,144.0
grid_export[Gas],0.0,0.0,0.0,144.0
grid_import[Elec],0.0,72.35547993215233,206.95627195385725,144.0
grid_import[Gas],0.0,632.6324995879086,674.0115068479761,144.0
