,Category,Value,Units,Description,Source
Cap_height,AD,4.0,m,Height of the AD top cap,calc
Diameter,AD,17.6,m,Diameter of the AD cylindrical body,calc
Ground_area,AD,973.14,m^2,Ground floor area,calc
Cap_area,AD,293.55,m^2,Surface area of the AD top cap,calc
Cyl_height,AD,5.93,m,Height of the AD cylindrical body,calc
U,AD,0.6716424000000002,kW/°C,AD heat conductance,calc
C,AD,1625.3412444444418,kWh/°C,Heat capacity of the AD,calc
Eff_elec,SOFC,0.6,-,SOFC electric efficiency,guess
GC_elec_frac,SOFC,0.03,-,gas cleaning electric consumption fraction,Projet Semestre nils
Eff_thermal,SOFC,0.95,-,SOFC thermal efficiency,guess
Gas,CO2,0.18108317060496,t-CO2/MWh,Emissions from burning natural gas,EIA
Elec,CO2,0.13,t-CO2/MWh,Emissions from importing Electricity in Switzerland,Ecovient
Biogas,CO2,0.0,t-CO2/MWh,Emissions from burning biogas,guess
Tax,CO2,9.6e-05,MCHF/t-CO2,Taxe CO2 en suisse,admin.ch
cons_Elec_annual,build,787000.0,kWh/year,Annual electric consumption,SFF excel
Gains_ppl,build,26.0,kWh/m^2/year,Heating Gains from People,Paul - SIA 2024
Building_absorptance,build,0.08,-,Fraction of solar radiation absorbed relative to ground surface,guess
Elec_heat_frac,build,0.9,-,Fraction of heat produced by electricity consumber,Dirk MA
U_b,build,0.00206,kW/Â°C/m^2,Building heat transmittance,Paul - SIA 2024
C_b,build,0.12,kWh/Â°C/m^2,Building heat capacity,Paul - SIA 2024
T_amb,build,20.0,Â°C,Comfort indoor temperature,guess
Heated_area,build,14705,m^2,Building heated surface area,Building
Cp_water,General,1.16222222222222,kWh/Â°C/m^3,Heat capacity of water,guess
Temp_ext_mean,General,10.0,Â°C,Annual average external temperature,calc
Hours_per_year,Time,8760.0,h/year,Hours in a year,fact
dt,Time,1,hour,Length of a timestep in hours,calc
Time_steps,Time,240.0,integer,Number of timesteps,calc
Days,Time,"['2019-01-01', '2019-01-02', '2019-01-03', '2019-01-04', '2019-01-05', '2019-01-06', '2019-01-07', '2019-01-08', '2019-01-09', '2019-01-10']",-,List of days in a date format,calc
Periods,Timedep,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239]",integer,List of timestep index,calc
Time,Timedep,"['00:00:00', '01:00:00', '02:00:00', '03:00:00', '04:00:00', '05:00:00', '06:00:00', '07:00:00', '08:00:00', '09:00:00', '10:00:00', '11:00:00', '12:00:00', '13:00:00', '14:00:00', '15:00:00', '16:00:00', '17:00:00', '18:00:00', '19:00:00', '20:00:00', '21:00:00', '22:00:00', '23:00:00']",-,hour:min:sec for each timestep in a day,calc
Ext_T,Timedep,"[2.9333333333333336, 2.9499999999999997, 2.6333333333333333, 2.2833333333333337, 1.7666666666666666, 2.1666666666666665, 2.25, 2.35, 2.5, 2.4833333333333334, 2.6666666666666665, 3.0833333333333335, 3.6166666666666667, 3.433333333333333, 3.266666666666667, 3.1833333333333336, 3.1333333333333333, 3.0, 3.0500000000000003, 3.0999999999999996, 3.033333333333333, 3.0500000000000003, 3.0, 2.8333333333333335, 2.9166666666666665, 2.533333333333333, 1.75, 1.5333333333333334, 1.0000000000000002, 0.7000000000000001, 0.43333333333333335, 0.19999999999999998, 0.39999999999999997, 0.7166666666666668, 1.0166666666666666, 1.2333333333333334, 1.6666666666666667, 1.5666666666666667, 1.2, 0.9333333333333335, 0.08333333333333336, -0.26666666666666666, -0.06666666666666664, -0.39999999999999997, -0.9833333333333333, -1.45, -1.666666666666667, -1.7666666666666664, -1.9166666666666667, -2.2833333333333337, -2.533333333333333, -3.3166666666666664, -3.5500000000000003, -4.133333333333333, -3.8000000000000007, -4.8500000000000005, -4.083333333333333, -3.216666666666667, -1.8333333333333333, -1.9000000000000001, -1.633333333333333, -1.4333333333333333, -1.2666666666666666, -1.5166666666666666, -1.6833333333333333, -1.6666666666666667, -1.7166666666666666, -2.183333333333333, -2.55, -2.3666666666666667, -2.9499999999999997, -2.3166666666666664, -2.3, -2.6333333333333333, -2.8833333333333333, -2.9499999999999997, -3.3666666666666667, -3.6999999999999993, -3.9166666666666665, -4.2, -3.9499999999999997, -2.683333333333333, -1.4833333333333334, -0.016666666666666666, 0.31666666666666665, 0.4166666666666667, 0.21666666666666667, -0.3, -0.9166666666666666, -0.85, -0.8333333333333334, -0.75, -0.6333333333333333, -0.85, -1.05, -0.8333333333333334, -0.6833333333333335, -0.55, -0.6333333333333333, -0.7166666666666667, -0.8333333333333334, -0.9, -0.9333333333333332, -1.5666666666666667, -1.3333333333333333, -1.4666666666666668, -1.1833333333333333, -1.1666666666666667, -1.05, -0.9, -0.7666666666666667, -0.5, -0.3333333333333333, -0.18333333333333332, -0.016666666666666673, 0.3333333333333333, 0.48333333333333334, 0.5166666666666667, 0.65, 0.7999999999999999, 0.7666666666666666, 0.75, 0.7833333333333332, 0.6833333333333335, 0.5666666666666668, 0.5833333333333334, 0.39999999999999997, 0.45, 0.5, 0.5666666666666668, 0.5833333333333334, 0.5833333333333334, 0.7333333333333334, 0.8833333333333334, 0.8166666666666665, 0.7000000000000001, 0.6166666666666667, 0.6333333333333333, 0.6, 0.4333333333333333, 0.45, 0.3, 0.3833333333333333, 0.35000000000000003, 0.38333333333333336, 0.39999999999999997, 0.4166666666666666, 0.3833333333333333, 0.3833333333333333, 0.3166666666666667, 0.3666666666666667, 0.3499999999999999, 0.5166666666666666, 1.0333333333333334, 1.5166666666666666, 1.3499999999999999, 1.45, 1.6166666666666665, 1.5999999999999999, 1.25, 0.9333333333333332, 0.8666666666666667, 0.7000000000000001, 0.6333333333333333, 0.6, 0.5, 0.5166666666666667, 0.4666666666666666, 0.3, 0.13333333333333333, -0.16666666666666666, -0.03333333333333333, 0.05000000000000001, 0.18333333333333332, 0.25000000000000006, 0.3833333333333333, 0.5166666666666667, 0.9333333333333332, 1.1666666666666667, 1.5, 1.6166666666666665, 1.8333333333333333, 1.7833333333333334, 2.25, 2.3666666666666667, 2.216666666666667, 2.1166666666666667, 1.7833333333333332, 1.5166666666666666, 1.55, 1.4166666666666667, 1.3333333333333333, 1.0666666666666667, 0.9166666666666666, 0.38333333333333336, 0.36666666666666664, 0.48333333333333334, 0.26666666666666666, 0.0, -0.3333333333333333, -0.35000000000000003, -0.19999999999999998, -0.13333333333333333, 0.18333333333333335, 0.19999999999999998, 0.6166666666666667, -0.3833333333333333, -0.15, -0.06666666666666667, -1.2999999999999998, -1.4666666666666668, -1.3333333333333333, -1.8166666666666667, -1.9166666666666667, -2.0999999999999996, -2.3666666666666667, -2.4, -2.6999999999999997, -2.4, -2.1833333333333336, -2.3166666666666664, -2.4166666666666665, -2.5, -2.45, -2.35, -2.183333333333333, -1.8500000000000003, -1.5666666666666667, -1.366666666666667, -1.4333333333333333, -1.3499999999999999, -1.5166666666666666, -1.5, -1.6666666666666667, -1.8833333333333335, -1.9500000000000002, -2.033333333333333, -2.0166666666666666, -2.1, -2.316666666666667]",°C,Exterior temperature,agrometeo.ch
Irradiance,Timedep,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.024, 0.02, 0.059, 0.069, 0.107, 0.025, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.024, 0.054, 0.083, 0.103, 0.129, 0.064, 0.071, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009, 0.04, 0.092, 0.202, 0.219, 0.092, 0.068, 0.039, 0.013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008, 0.045, 0.116, 0.181, 0.235, 0.209, 0.109, 0.068, 0.019, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.015, 0.039, 0.051, 0.053, 0.057, 0.039, 0.035, 0.014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.014, 0.06, 0.088, 0.094, 0.107, 0.079, 0.057, 0.015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.036, 0.106, 0.117, 0.067, 0.06, 0.069, 0.037, 0.011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.012, 0.039, 0.059, 0.042, 0.055, 0.026, 0.048, 0.026, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.038, 0.058, 0.067, 0.075, 0.14, 0.071, 0.039, 0.006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.016, 0.053, 0.11, 0.12, 0.103, 0.066, 0.043, 0.018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",kW/m^2,Global irradiance,agrometeo.ch
Build_cons_Elec,Timedep,"[11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 45.39293439077145, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 45.39293439077145, 11.348233597692863, 113.48233597692862, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 158.87527036770007, 45.39293439077145, 22.696467195385726, 22.696467195385726, 22.696467195385726, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 45.39293439077145, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 45.39293439077145, 11.348233597692863, 113.48233597692862, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 158.87527036770007, 45.39293439077145, 22.696467195385726, 22.696467195385726, 22.696467195385726, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 45.39293439077145, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 45.39293439077145, 11.348233597692863, 113.48233597692862, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 158.87527036770007, 45.39293439077145, 22.696467195385726, 22.696467195385726, 22.696467195385726, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 45.39293439077145, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 45.39293439077145, 11.348233597692863, 113.48233597692862, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 158.87527036770007, 45.39293439077145, 22.696467195385726, 22.696467195385726, 22.696467195385726, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 45.39293439077145, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 45.39293439077145, 11.348233597692863, 113.48233597692862, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 158.87527036770007, 45.39293439077145, 22.696467195385726, 22.696467195385726, 22.696467195385726, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 45.39293439077145, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 45.39293439077145, 11.348233597692863, 113.48233597692862, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 158.87527036770007, 45.39293439077145, 22.696467195385726, 22.696467195385726, 22.696467195385726, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 45.39293439077145, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 45.39293439077145, 11.348233597692863, 113.48233597692862, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 158.87527036770007, 45.39293439077145, 22.696467195385726, 22.696467195385726, 22.696467195385726, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 45.39293439077145, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 45.39293439077145, 11.348233597692863, 113.48233597692862, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 158.87527036770007, 45.39293439077145, 22.696467195385726, 22.696467195385726, 22.696467195385726, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 45.39293439077145, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 45.39293439077145, 11.348233597692863, 113.48233597692862, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 158.87527036770007, 45.39293439077145, 22.696467195385726, 22.696467195385726, 22.696467195385726, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 11.348233597692863, 45.39293439077145, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 45.39293439077145, 11.348233597692863, 113.48233597692862, 158.87527036770007, 204.26820475847154, 226.96467195385725, 204.26820475847154, 158.87527036770007, 45.39293439077145, 22.696467195385726, 22.696467195385726, 22.696467195385726, 11.348233597692863, 11.348233597692863]",kW,Building electricity consumption,calc
