Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
31,28,31,30,31,30,31,31,30,31,30,31
224488.3647,263575.7505,240379.556,161080.9377,75466.30131,56360.90857,0,0,31006.92857,230253.6979,211226.9744,185906.7098
