,Minimum,Average,Maximum,Length
prod[BOI][Heat],476.57330826555983,476.5733082655599,476.5733082655602,24.0
cons[BOI][Gas],529.5258980728443,529.5258980728444,529.5258980728446,24.0
prod[PV][Elec],0.0,0.11025000000000003,0.8988000000000002,24.0
prod[BAT][Elec],0.0,0.0,0.0,24.0
cons[BAT][Elec],0.0,0.0,0.0,24.0
prod[SOFC][Elec],17.774549477028373,19.25818315900946,20.0,24.0
prod[SOFC][Heat],11.537865450000874,11.537865450000874,11.537865450000874,24.0
cons[SOFC][Gas],0.0,2.602866108738745,3.904299163108117,24.0
cons[SOFC][Biogas],31.1834201351375,31.1834201351375,31.1834201351375,24.0
prod[AD][Biogas],31.183420135137496,31.183420135137496,31.183420135137496,24.0
cons[AD][Biomass],103.94473378379166,103.94473378379166,103.94473378379166,24.0
cons[AD][Elec],0.24946736108109996,0.24946736108109993,0.24946736108109996,24.0
cons[AD][Heat],0.0,12.670659542840278,78.93293018810584,24.0
unit_T[AD],30.0,30.32049371269426,30.785031944993225,24.0
build_cons[Heat],409.1782435274549,475.4405141727205,488.11117371556077,24.0
v[BOI][build],22.809199507310982,26.610094573005,27.33690104773771,24.0
v[BOI][AD],0.0,1.09020971209907,6.791552310640094,24.0
v[SOFC][build],0.6618278460803573,0.6618278460803573,0.6618278460803573,24.0
v[SOFC][AD],0.0,0.0,0.0,24.0
bat_SOC,0.0,0.0,0.0,24.0
bat_charge,0.0,0.9583333333333334,1.0,24.0
bat_discharge,0.0,0.041666666666666664,1.0,24.0
heat_loss_biomass,8.174901620370354,8.174901620370354,8.174901620370354,24.0
build_T,19.853472376320433,19.95950014369252,20.024542764033214,24.0
penalty_t,0.0,1.5085452554298698e-06,4.8373648382392565e-06,24.0
comfort_delta_T,-0.02454276403321387,0.040499856307481576,0.1465276236795674,24.0
comfort_delta_T_abs,0.0,0.04569503415245407,0.14652762367956634,24.0
grid_export[Elec],0.0,2.083099506084803,6.756448518254409,24.0
grid_export[Gas],0.0,0.0,0.0,24.0
grid_import[Elec],0.0,72.80431635655827,207.20573931493834,24.0
grid_import[Gas],529.5258980728443,529.5258980728444,529.5258980728446,24.0
