Technology,Size,Size units,Investement,Maintenance,Currency,Year,Place,Life,Source,Info
BS,18700,kWh-biogas,210,0.06,EUR,2014,Germany,20,Hahn 2014,
GI,1300,kW-biomethane,225.9,,CHF,2020,Switzerland,,Biollaz 2017,Pipline cost not included
